,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
971,MLFT4,22.39,173.18,12.07,48.241,"0,00%",5.614,22.43,119.81,-26.22,123.92,85.48,"40,27%","40,35%",4.64,"6,46%","6,97%",0.0,3429380000.0,1.0,"3,67%"
972,RAIL3,18.42,226.88,2.31,4.591,"0,00%",0.709,4.3,21.67,-1.64,29.12,13.47,"21,18%","2,09%",2.79,"4,14%","1,02%",216040000.0,14795400000.0,1.43,"5,17%"
973,ELEV3,24.3,312.39,3.22,0.688,"0,00%",0.954,5.75,37.19,-5.18,51.41,51.41,"1,85%","0,27%",1.47,"3,01%","1,03%",0.0,489356000.0,1.35,"3,69%"
974,RHDS4,1.0,363.45,29.5,4.977,"0,00%",7.182,-593.56,68.11,-24.55,71.32,53.72,"7,31%","1,17%",0.97,"11,80%","8,12%",0.0,272045000.0,1.49,"4,38%"
975,PRBC4,14.54,382.99,36.77,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","9,60%",0.0,1288350000.0,0.0,"2,80%"
976,BIDI3,6.91,514.6,2.1,0.0,"0,37%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,41%",12377300.0,8488640000.0,0.0,"44,69%"
977,BIDI11,21.48,533.22,2.18,0.0,"0,36%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,41%",360728000.0,8488640000.0,0.0,"44,69%"
978,BIDI4,7.24,539.18,2.2,0.0,"0,35%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,41%",91459700.0,8488640000.0,0.0,"44,69%"
979,UBBR4,7.49,610.27,1.99,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,33%",0.0,10317200000.0,0.0,"10,58%"
980,BRIT3,3.87,775.2,1.29,2.385,"0,00%",0.601,2.47,17.51,-5.21,18.27,7.06,"13,62%","0,31%",2.37,"5,98%","0,17%",1595780.0,1342090000.0,0.84,"54,47%"
981,TRAD3,4.31,1010.74,1.98,13.252,"0,00%",1.877,3.82,-42.05,3.87,-31.29,-44.43,"-31,52%","1,31%",11.99,"-8,80%","0,20%",12117400.0,613211000.0,0.01,"0,00%"
982,UBBR11,14.75,1201.81,3.91,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,33%",0.0,10317200000.0,0.0,"10,58%"
983,UBBR3,18.0,1466.61,4.77,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","0,33%",0.0,10317200000.0,0.0,"10,58%"
984,BBTG12,3.15,53197.2,24180.6,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","45,45%",0.0,11000.0,0.0,"0,00%"
