,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
60,ASTA4,25.83,-30.79,1.0,0.652,"0,00%",0.446,2.57,19.9,-3.3,33.2,33.2,"3,28%","-2,12%",1.71,"2,52%","-3,25%",0.0,515672000.0,0.85,"-4,73%"
61,VGOR4,5.87,-29.58,7.18,1.229,"0,00%",1.468,113.97,27.32,-3.22,34.09,34.09,"4,50%","-4,59%",1.04,"6,00%","-24,29%",0.0,135178000.0,1.89,"4,77%"
62,CRBM3,90.0,-28.95,3.26,1.498,"0,00%",1.172,2.98,-15.45,16.9,-14.17,-14.17,"-9,70%","-5,18%",2.24,"-12,71%","-11,28%",0.0,827347000.0,0.45,"-1,58%"
63,BAHI5,65.0,-28.84,7.62,3.986,"0,00%",1.725,-5.79,-374.25,-2.56,-392.4,216.56,"-1,06%","-14,32%",0.22,"-0,48%","-26,43%",0.0,139455000.0,0.46,"71,76%"
64,TELB3,49.0,-26.22,2.32,11.641,"0,00%",0.811,2.93,-10.5,-2.75,-7.7,-36.33,"-110,88%","-44,40%",4.5,"-10,75%","-8,86%",141164.0,1430760000.0,0.15,"18,26%"
65,VVAR11,14.58,-26.16,1.38,0.251,"0,00%",0.22,-36.47,6.88,-0.69,13.65,7.26,"3,65%","-0,96%",0.99,"4,37%","-5,27%",0.0,5637000000.0,1.67,"4,50%"
66,VVAR4,4.84,-26.05,1.37,0.25,"0,00%",0.219,-36.32,6.85,-0.69,13.62,7.25,"3,65%","-0,96%",0.99,"4,37%","-5,27%",0.0,5637000000.0,1.67,"4,50%"
67,DFVA4,8.0,-25.35,49.04,3.497,"0,00%",4.335,23.51,-45.18,-25.43,-47.55,-47.55,"-7,74%","-13,79%",1.33,"-10,35%","-193,42%",0.0,1170000.0,2.84,"3,39%"
68,TAMM4,52.73,-22.74,3.8,0.626,"0,00%",0.524,-31.11,9.77,-0.96,18.01,9.66,"6,41%","-2,21%",0.95,"6,36%","-16,70%",0.0,2174310000.0,4.08,"9,79%"
69,TAMM3,52.6,-22.68,3.79,0.625,"0,00%",0.523,-31.04,9.74,-0.96,17.98,9.65,"6,41%","-2,21%",0.95,"6,36%","-16,70%",0.0,2174310000.0,4.08,"9,79%"
70,VIIA3,4.19,-22.55,1.19,0.217,"0,00%",0.19,-31.44,5.93,-0.6,12.7,6.76,"3,65%","-0,96%",0.99,"4,37%","-5,27%",250337000.0,5637000000.0,1.67,"4,50%"
71,KROT11,40.0,-21.92,0.84,2.244,"0,00%",0.376,3.72,16.72,-1.38,25.86,11.91,"13,43%","-10,74%",1.7,"2,73%","-3,84%",0.0,12726600000.0,0.78,"-4,33%"
72,SMFT3,22.09,-20.41,2.95,7.587,"0,00%",1.111,4.72,-37.2,-4.24,-36.83,28.94,"-20,39%","-37,09%",2.92,"-4,50%","-14,43%",24688900.0,4396510000.0,0.82,"18,96%"
73,KROT4,5.12,-19.64,0.75,2.011,"0,00%",0.337,3.34,14.98,-1.24,24.12,11.11,"13,43%","-10,74%",1.7,"2,73%","-3,84%",0.0,12726600000.0,0.78,"-4,33%"
74,CRBM7,60.0,-19.3,2.18,0.999,"0,00%",0.782,1.99,-10.3,11.26,-9.02,-9.02,"-9,70%","-5,18%",2.24,"-12,71%","-11,28%",0.0,827347000.0,0.45,"-1,58%"
75,WMBY3,25.39,-19.3,2.87,0.836,"0,00%",0.182,1.2,8.62,-1.5,25.02,25.02,"9,70%","-7,05%",1.44,"2,39%","-14,86%",0.0,212439000.0,6.51,"-14,48%"
76,TCNO3,1.81,-18.9,-20.73,0.0,"0,00%",0.051,-0.12,-5.57,-0.06,-21.29,-25.72,"0,00%","0,00%",0.29,"-1,24%","109,69%",37282.7,-578000.0,-58.53,"53,01%"
77,TDBH4,0.66,-18.63,1.28,0.906,"0,00%",0.811,-6.15,8.73,-5.66,10.23,10.23,"10,38%","-4,86%",0.63,"10,48%","-6,85%",0.0,554115000.0,0.27,"35,74%"
78,TANC4,43.0,-18.54,3.1,0.511,"0,00%",0.428,-25.37,7.96,-0.78,16.2,8.69,"6,41%","-2,21%",0.95,"6,36%","-16,70%",0.0,2174310000.0,4.08,"9,79%"
79,DTCY3,7.85,-18.14,376.63,9.125,"0,00%",5.769,-22.72,-30.84,-8.6,-31.05,61.69,"-29,58%","-50,31%",0.55,"-20,39%","-2.076,72%",2746.34,232000.0,7.55,"-10,72%"
80,CCIM3,5.52,-16.44,0.94,0.498,"0,00%",0.198,0.53,8.96,-1.09,25.04,38.84,"5,55%","-3,03%",2.58,"2,38%","-5,75%",0.0,660347000.0,1.93,"29,98%"
81,TDBH3,0.56,-15.81,1.08,0.769,"0,00%",0.688,-5.22,7.4,-4.8,8.91,8.91,"10,38%","-4,86%",0.63,"10,48%","-6,85%",0.0,554115000.0,0.27,"35,74%"
82,CLSA3,5.94,-14.98,1.44,2.44,"0,00%",1.13,1.5,-17.91,1.65,-7.63,-10.08,"-13,63%","-16,29%",6.22,"-29,11%","-9,59%",21504700.0,777297000.0,0.14,"32,39%"
83,GBIO33,10.4,-14.97,1.32,1.518,"0,00%",0.791,7.57,13.53,17.58,16.06,16.06,"11,21%","-10,14%",1.31,"7,12%","-8,83%",0.0,838439000.0,0.31,"-8,99%"
84,TCNO4,1.43,-14.93,-16.38,0.0,"0,00%",0.04,-0.09,-4.4,-0.05,-20.12,-24.31,"0,00%","0,00%",0.29,"-1,24%","109,69%",70144.8,-578000.0,-58.53,"53,01%"
85,LECO4,1.46,-13.48,2.0,0.637,"0,00%",0.924,-16.84,-29.69,-3.16,-32.69,-32.69,"-2,14%","-4,72%",0.82,"-3,48%","-14,82%",0.0,105928000.0,0.2,"3,58%"
86,SEDU3,23.8,-13.36,15.0,3.443,"0,00%",1.531,57.9,-22.47,-2.67,-28.68,-69.64,"-15,33%","-25,73%",1.09,"-8,15%","-112,29%",0.0,415869000.0,4.67,"10,87%"
87,TESA3,48.0,-13.3,1.62,1.007,"0,00%",0.523,-11.1,9.41,-1.35,15.25,10.09,"10,71%","-7,58%",0.86,"6,42%","-12,18%",0.0,858223000.0,1.04,"15,48%"
88,IGUA3,8.15,-12.52,-1.44,0.568,"0,00%",0.564,-0.65,8.22,-0.6,14.8,5.8,"6,91%","-4,53%",0.34,"7,61%","11,52%",0.0,-164188000.0,-1.33,"-7,41%"
89,FGUI3,12.0,-12.41,-2.15,16.009,"0,00%",25.203,-2.2,-57.76,-2.05,-70.17,-70.17,"-27,72%","-129,00%",0.04,"-60,74%","17,32%",0.0,-222024000.0,-0.46,"2,13%"
90,IGUA6,8.07,-12.4,-1.43,0.562,"0,00%",0.558,-0.64,8.14,-0.59,14.72,5.77,"6,91%","-4,53%",0.34,"7,61%","11,52%",0.0,-164188000.0,-1.33,"-7,41%"
91,IGUA5,7.98,-12.26,-1.41,0.556,"0,00%",0.552,-0.64,8.04,-0.59,14.63,5.73,"6,91%","-4,53%",0.34,"7,61%","11,52%",0.0,-164188000.0,-1.33,"-7,41%"
92,AMAR3,3.36,-12.25,0.88,0.348,"0,00%",0.257,2.53,2.91,-1.36,6.88,3.6,"11,97%","-2,84%",1.24,"11,28%","-7,18%",18659000.0,999524000.0,1.46,"-5,03%"
93,PRVI3,10.54,-11.74,1.61,0.919,"0,00%",0.565,-250.86,9.71,-1.48,9.87,6.39,"9,46%","-7,83%",0.99,"6,15%","-13,71%",0.0,525170000.0,0.1,"16,19%"
94,OPCT3,2.78,-11.73,0.62,0.63,"0,00%",0.224,1.24,11.95,-0.73,27.41,6.18,"5,27%","-5,37%",2.2,"2,54%","-5,28%",5412190.0,897985000.0,1.4,"0,00%"
95,BIOM3,12.35,-11.31,8.14,8.48,"0,00%",2.455,14.4,-14.31,-7.8,-16.34,-16.34,"-59,27%","-74,95%",1.8,"-21,37%","-71,93%",94774.6,111586000.0,1.65,"476,42%"
96,COGN3,2.89,-11.09,0.43,1.135,"0,00%",0.19,1.88,8.45,-0.7,17.6,8.1,"13,43%","-10,74%",1.7,"2,73%","-3,84%",85635300.0,12726600000.0,0.78,"-4,33%"
97,CPNY3,2.35,-11.0,0.42,0.232,"0,00%",0.054,0.2,1.21,-0.13,4.21,4.21,"19,13%","-2,11%",2.26,"5,48%","-3,86%",0.0,398830000.0,2.33,"20,10%"
98,FRIO3,44.99,-10.65,-1.64,0.099,"0,00%",0.103,-2.27,2.79,-0.33,16.27,8.22,"3,53%","0,24%",0.94,"6,36%","15,40%",878.0,-112663000.0,-11.09,"17,35%"
99,MEAL3,2.99,-10.64,0.76,0.462,"0,00%",0.29,5.13,-25.38,-0.73,-33.53,16.37,"-1,82%","-4,34%",1.34,"-1,47%","-7,14%",4477730.0,1126690000.0,0.65,"1,14%"
100,ECPR4,90.74,-9.92,1.22,0.0,"0,00%",0.624,175.57,-82.97,-1.29,-82.6,-82.72,"0,00%","0,00%",2.97,"-0,75%","-12,28%",1980.49,141476000.0,0.0,"0,00%"
101,ECPR3,90.25,-9.87,1.21,0.0,"0,00%",0.621,174.62,-82.52,-1.29,-82.15,-82.27,"0,00%","0,00%",2.97,"-0,75%","-12,28%",660.37,141476000.0,0.0,"0,00%"
102,MSPA3,50.01,-9.85,0.39,2.222,"0,00%",0.221,5.41,-10.8,-0.65,-13.46,-123.08,"-20,58%","-22,55%",1.8,"-2,18%","-3,95%",600.02,823503000.0,0.18,"-3,46%"
103,MSPA4,47.0,-9.26,0.37,2.088,"0,00%",0.208,5.09,-10.15,-0.61,-12.81,-117.14,"-20,58%","-22,55%",1.8,"-2,18%","-3,95%",678.0,823503000.0,0.18,"-3,46%"
104,TERI3,64.28,-8.83,0.29,0.107,"0,00%",0.081,7.9,7.2,-0.26,39.56,39.56,"1,49%","-1,91%",1.03,"1,25%","-3,27%",0.0,3641000000.0,1.43,"7,94%"
105,TELB4,16.18,-8.66,0.77,3.844,"0,00%",0.268,0.97,-3.47,-0.91,-0.67,-3.16,"-110,88%","-44,40%",4.5,"-10,75%","-8,86%",351247.0,1430760000.0,0.15,"18,26%"
106,NORD3,10.0,-8.62,-0.45,33.355,"0,00%",3.749,-1.43,-62.4,-0.4,-98.07,-98.07,"-53,45%","-386,85%",0.03,"-6,17%","5,20%",10617.8,-147652000.0,-0.26,"36,04%"
107,SEMP3,16.86,-8.12,1.36,15.081,"0,00%",1.201,15.67,-4.42,15.67,-4.07,-4.07,"-340,98%","-185,82%",1.64,"-30,21%","-16,81%",0.0,118441000.0,0.0,"-10,37%"
108,BIOM4,8.68,-7.95,5.72,5.96,"0,00%",1.726,10.12,-10.06,-5.48,-12.09,-12.09,"-59,27%","-74,95%",1.8,"-21,37%","-71,93%",0.0,111586000.0,1.65,"476,42%"
109,CEED4,45.9,-7.95,-1.18,0.641,"0,00%",0.465,8.78,48.85,-0.46,82.91,24.29,"1,31%","-8,07%",1.16,"1,24%","14,83%",333.68,-2657840000.0,-1.2,"339,02%"
110,WEST3,3.01,-7.87,0.87,1.056,"0,00%",0.675,1.19,-4.58,1.37,-1.39,-1.66,"-23,05%","-13,43%",4.82,"-39,84%","-11,08%",2291280.0,380317000.0,0.09,"0,00%"
111,SZPQ4,6.64,-7.85,2.2,0.855,"0,00%",0.744,2.62,-20.31,-3.17,-22.77,-22.77,"-4,21%","-10,89%",2.97,"-3,77%","-28,00%",0.0,684467000.0,0.3,"-11,71%"
112,CVCB3,16.28,-7.69,9.76,4.434,"0,00%",0.739,-9.72,-10.61,-2.29,-10.62,-26.82,"-41,81%","-58,93%",0.89,"-10,47%","-126,93%",178237000.0,375292000.0,2.64,"-15,79%"
113,BKBR3,7.5,-7.54,1.31,0.75,"0,00%",0.542,39.45,-11.96,-1.45,-13.93,11.8,"-6,27%","-9,95%",1.07,"-5,54%","-17,41%",17474600.0,1572720000.0,0.5,"8,55%"
114,MEDI3,11.55,-7.52,1.89,0.374,"0,00%",0.824,-10.02,-9.11,-3.31,-6.61,-6.61,"-4,11%","-4,98%",0.79,"-12,30%","-25,13%",0.0,426164000.0,0.02,"13,02%"
115,CEED3,43.0,-7.44,-1.1,0.6,"0,00%",0.435,8.23,45.76,-0.43,79.82,23.39,"1,31%","-8,07%",1.16,"1,24%","14,83%",1888.37,-2657840000.0,-1.2,"339,02%"
116,HBSA3,3.3,-7.4,2.01,2.25,"0,00%",0.385,4.02,-256.2,-0.62,-693.03,20.68,"-0,88%","-30,40%",2.04,"-0,17%","-27,18%",8668200.0,1247650000.0,3.96,"31,04%"
117,BAHI3,15.6,-6.92,1.83,0.957,"0,00%",0.414,-1.39,-89.82,-0.62,-107.97,59.58,"-1,06%","-14,32%",0.22,"-0,48%","-26,43%",102420.0,139455000.0,0.46,"71,76%"
118,MBLY3,5.33,-6.69,0.89,0.787,"0,00%",0.568,1.18,-7.17,1.83,-6.15,-14.98,"-10,97%","-11,76%",3.58,"-12,80%","-13,23%",3795770.0,640822000.0,0.3,"33,13%"
119,IRBR3,3.5,-6.5,1.22,0.556,"0,00%",0.196,0.0,-2.21,0.0,0.0,0.0,"-25,11%","-8,55%",0.0,"0,00%","-18,78%",56368900.0,3634360000.0,0.0,"-11,91%"
120,AHEB6,51.5,-5.9,-6.22,2.533,"0,00%",1.403,-99.94,-9.86,-1.52,-9.35,-11.4,"-25,68%","-42,95%",0.96,"-16,68%","105,53%",0.0,-70711000.0,0.0,"23,00%"
121,BUET3,24.99,-5.46,-0.97,1.961,"0,00%",0.572,-0.67,-13.13,-0.39,-22.6,-36.32,"-14,93%","-35,93%",0.11,"-5,95%","17,79%",0.0,-124674000.0,-0.7,"4,55%"
122,TXRX3,27.66,-5.41,-0.35,0.727,"0,00%",0.56,-0.6,3.94,-0.26,13.22,11.35,"18,43%","-13,44%",0.32,"20,94%","6,56%",506.49,-331987000.0,-0.84,"13,61%"
123,APTI4,3500.0,-5.19,0.29,2.754,"0,00%",0.132,0.44,-3.74,-0.85,-2.86,-3.25,"-73,70%","-53,05%",4.67,"-4,02%","-5,51%",0.0,232518000.0,0.19,"-11,90%"
124,NINJ3,4.2,-5.14,0.74,3.379,"0,00%",0.688,0.75,-4.11,0.75,1.6,1.62,"-82,23%","-65,67%",15.13,"-1.247,00%","-14,30%",1869880.0,286746000.0,0.0,"49,34%"
125,TLCP3,48.0,-5.02,1.76,0.824,"0,00%",0.533,-2.76,-26.61,-1.33,-43.86,-43.86,"-3,10%","-16,40%",0.61,"-2,52%","-35,04%",0.0,262979000.0,1.21,"9,09%"
126,TEND3,9.12,-4.97,0.79,0.375,"1,95%",0.214,0.62,54.79,-2.3,73.89,20.73,"0,68%","-7,74%",2.2,"0,53%","-15,91%",25661300.0,1203410000.0,1.16,"16,86%"
127,SHOW3,4.69,-4.93,2.34,10.097,"0,00%",0.584,5.2,-9.11,-4.27,-6.46,-8.2,"-110,81%","-206,13%",1.22,"-12,62%","-47,50%",2566150.0,134933000.0,0.99,"-58,44%"
128,LFFE4,3.89,-4.91,4.08,0.0,"0,00%",3.599,0.0,-26.5,0.0,-23.11,10.9,"0,00%","0,00%",0.0,"0,00%","-83,10%",0.0,51892000.0,0.0,"0,00%"
129,CGOS3,26.2,-4.85,1.89,0.509,"0,00%",0.167,-0.83,-256.6,-0.25,-570.29,-570.29,"-0,20%","-10,48%",0.54,"-0,08%","-39,02%",0.0,453387000.0,2.48,"8,97%"
130,DOTZ3,2.89,-4.64,-4.91,3.091,"0,00%",0.939,51.18,-28.21,-2.66,-8.95,61.42,"-10,96%","-66,61%",1.02,"-20,62%","105,75%",305845.0,-77777000.0,-0.43,"11,25%"
131,ENJU3,2.68,-4.46,1.25,4.996,"0,00%",1.123,1.4,-4.04,1.43,-1.05,-1.15,"-123,71%","-111,91%",10.62,"-217,05%","-27,98%",8421790.0,424561000.0,0.0,"33,33%"
132,PRML3,11.52,-4.41,1.98,18.612,"0,00%",0.581,23.0,-30.33,-0.93,-63.15,1640.31,"-61,36%","-424,99%",2.02,"-1,96%","-44,84%",0.0,2192720000.0,2.18,"32,85%"
133,ADHM3,1.56,-4.09,-1.29,770.924,"0,00%",105.126,-1.43,-5.69,-1.27,-5.69,-5.81,"-13.548,50%","-18.860,60%",0.0,"521,70%","31,47%",2064.0,-19776000.0,0.0,"43,48%"
134,BUET4,18.49,-4.04,-0.72,1.451,"0,00%",0.423,-0.5,-9.72,-0.29,-19.18,-30.83,"-14,93%","-35,93%",0.11,"-5,95%","17,79%",0.0,-124674000.0,-0.7,"4,55%"
135,ALPK3,4.28,-4.01,1.61,1.073,"0,00%",0.348,-2.16,7.7,-0.52,18.63,6.12,"13,92%","-26,85%",0.4,"4,96%","-40,22%",216524.0,555368000.0,2.46,"-12,10%"
136,PMET5,0.65,-3.95,-0.16,4.518,"0,00%",30.248,-0.22,89.99,-0.16,503.88,503.88,"5,02%","-114,49%",0.01,"38,97%","4,10%",0.0,-290863000.0,-0.74,"37,74%"
137,LFFE3,3.11,-3.92,3.26,0.0,"0,00%",2.877,0.0,-21.18,0.0,-17.8,8.39,"0,00%","0,00%",0.0,"0,00%","-83,10%",0.0,51892000.0,0.0,"0,00%"
138,FBMC3,80.0,-3.78,-0.92,3.858,"0,00%",1.384,-1.79,-2.85,-0.64,-3.31,-3.69,"-135,59%","-101,97%",0.31,"-64,70%","24,19%",0.0,-63552000.0,-0.15,"-31,66%"
139,LUPA3,5.33,-3.76,1.07,1.664,"0,00%",0.309,1.07,-15.94,-1.23,-27.17,-61.26,"-10,43%","-44,19%",2.71,"-2,07%","-28,50%",6945110.0,145071000.0,0.89,"-11,37%"
140,TLCP4,34.11,-3.57,1.25,0.586,"0,00%",0.379,-1.96,-18.91,-0.95,-36.16,-36.16,"-3,10%","-16,40%",0.61,"-2,52%","-35,04%",0.0,262979000.0,1.21,"9,09%"
141,BECE3,9.1,-3.42,8.72,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-255,20%",0.0,96496000.0,0.0,"12,81%"
142,BECE4,8.75,-3.29,8.38,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-255,20%",0.0,96496000.0,0.0,"12,81%"
143,VIVR3,1.31,-3.25,-0.93,2.754,"0,00%",0.57,-0.94,-4.45,-0.51,-7.96,-8.16,"-61,91%","-85,21%",0.45,"-16,70%","28,62%",5359180.0,-201051000.0,-1.05,"52,47%"
144,AHEB3,27.5,-3.15,-3.32,1.352,"0,00%",0.749,-53.36,-5.27,-0.81,-4.75,-5.79,"-25,68%","-42,95%",0.96,"-16,68%","105,53%",0.0,-70711000.0,0.0,"23,00%"
145,CTNM3,8.01,-3.0,0.32,0.111,"0,00%",0.058,-2.21,1.65,-0.25,9.82,5.53,"6,73%","-6,39%",0.94,"4,09%","-10,65%",1872.12,768566000.0,1.94,"-1,98%"
146,BLUT3,1.27,-2.94,0.43,0.0,"0,00%",0.134,-1.06,-15.76,-0.19,-19.81,-19.81,"0,00%","0,00%",0.0,"-0,86%","-14,79%",264043.0,58673000.0,0.11,"0,00%"
147,PNOR5,1.87,-2.9,0.55,0.354,"0,00%",0.205,0.7,8.52,-2.32,4.57,4.57,"4,15%","-11,74%",2.5,"3,61%","-18,84%",0.0,158071000.0,0.42,"1,34%"
148,PNOR6,1.87,-2.9,0.55,0.354,"0,00%",0.205,0.7,8.52,-2.32,4.57,4.57,"4,15%","-11,74%",2.5,"3,61%","-18,84%",0.0,158071000.0,0.42,"1,34%"
149,STRP4,0.21,-2.85,-0.43,0.416,"0,00%",0.111,-0.18,-0.45,-0.09,-1.15,-1.15,"-91,82%","-14,58%",0.13,"-25,49%","14,95%",0.0,-12498000.0,-0.66,"-36,39%"
150,CRDE3,20.47,-2.77,0.48,23.905,"0,00%",0.432,3.55,-5.19,5.28,-3.56,-3.57,"-460,70%","-860,99%",2.79,"-9,77%","-17,44%",7782.63,102494000.0,0.0,"-28,36%"
151,LIXC3,1.75,-2.62,1.52,395.995,"0,00%",0.069,0.28,-4.21,3.84,-6.37,-6.68,"-9.413,21%","-14.386,80%",1.34,"-1,90%","-57,85%",0.0,13842000.0,0.79,"-75,90%"
152,AHEB5,22.0,-2.52,-2.66,1.082,"0,00%",0.599,-42.69,-4.21,-0.65,-3.7,-4.51,"-25,68%","-42,95%",0.96,"-16,68%","105,53%",0.0,-70711000.0,0.0,"23,00%"
153,BICB4,8.25,-2.43,2.21,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-91,00%",0.0,944626000.0,0.0,"-31,19%"
154,BICB3,8.0,-2.35,2.14,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-91,00%",0.0,944626000.0,0.0,"-31,19%"
155,ARLA4,3.38,-2.21,-0.62,2.137,"0,00%",0.442,-0.31,-6.74,-0.29,-17.87,-17.87,"-31,72%","-96,55%",0.1,"-13,71%","28,00%",0.0,-24319000.0,-1.02,"-47,46%"
156,LIXC4,1.45,-2.17,1.26,328.11,"0,00%",0.057,0.23,-3.49,3.18,-5.65,-5.92,"-9.413,21%","-14.386,80%",1.34,"-1,90%","-57,85%",0.0,13842000.0,0.79,"-75,90%"
157,MMXM3,14.0,-2.17,-0.11,0.0,"0,00%",0.71,-0.1,4.7,-0.09,18.64,18.64,"0,00%","0,00%",0.01,"25,93%","4,97%",0.0,-842661000.0,-0.32,"-28,51%"
158,OGXP3,1.63,-2.15,-0.98,0.0,"0,00%",0.925,0.0,-16.46,0.0,-16.46,-16.46,"0,00%","0,00%",0.0,"0,00%","45,53%",0.0,-53901000.0,0.0,"0,00%"
159,VTLM3,0.79,-2.07,-0.65,390.404,"0,00%",53.237,-0.72,-2.88,-0.64,-2.88,-2.94,"-13.548,50%","-18.860,60%",0.0,"521,70%","31,47%",0.0,-19776000.0,0.0,"43,48%"
160,BBRK3,1.11,-2.02,15.54,1.028,"0,00%",0.927,-2.53,-12.48,-1.24,-11.34,-47.39,"-8,24%","-51,03%",0.35,"-8,51%","-769,13%",1864040.0,9484000.0,0.0,"8,98%"
161,AZUL4,24.3,-2.0,-0.46,0.843,"0,00%",0.454,-1.43,7.66,-0.27,27.55,11.45,"11,01%","-42,23%",0.5,"8,02%","22,98%",248608000.0,-18333000000.0,-1.36,"0,29%"
162,OIBR4,1.42,-1.91,8.83,4.681,"0,00%",0.124,0.41,-2.68,-0.33,-10.73,-27.79,"-174,48%","-245,43%",1.97,"-5,08%","-462,73%",2144090.0,1061810000.0,29.52,"-40,34%"
163,ARCZ3,3.66,-1.88,1.95,1.096,"0,00%",0.369,1.53,9.5,-0.84,28.18,28.18,"11,54%","-58,02%",2.86,"4,03%","-103,98%",0.0,1934210000.0,3.92,"0,75%"
164,ARCZ6,3.63,-1.86,1.94,1.087,"0,00%",0.366,1.52,9.42,-0.84,28.1,28.1,"11,54%","-58,02%",2.86,"4,03%","-103,98%",0.0,1934210000.0,3.92,"0,75%"
165,SGPS3,5.6,-1.82,0.28,0.163,"0,00%",0.088,-4.32,2.66,-0.39,10.15,5.16,"6,11%","-8,93%",0.96,"3,87%","-15,51%",270626.0,990441000.0,1.02,"-3,70%"
166,BISA3,1.58,-1.77,1.18,1.692,"0,00%",0.321,0.86,-4.02,-7.64,-6.21,-9.28,"-42,05%","-96,36%",2.22,"-8,50%","-66,94%",0.0,1788370000.0,0.77,"-24,23%"
167,BCAL6,0.28,-1.7,-0.07,1.946,"0,00%",13.03,-0.09,38.77,-0.07,452.65,452.65,"5,02%","-114,49%",0.01,"38,97%","4,10%",0.0,-290863000.0,-0.74,"37,74%"
168,DJON4,0.18,-1.7,0.22,-0.956,"0,00%",0.166,-1.29,-1.42,-0.85,-1.98,-1.98,"67,37%","56,33%",0.24,"-12,02%","-12,84%",0.0,2702000.0,0.09,"45,19%"
169,SPRI6,11.0,-1.68,1.24,0.0,"0,00%",1.196,2.33,-3.21,2.47,-2.86,-2.88,"0,00%","0,00%",66.47,"-42,86%","-73,82%",0.0,22420000.0,0.0,"-7,33%"
170,ARLA3,2.47,-1.62,-0.45,1.562,"0,00%",0.323,-0.22,-4.92,-0.21,-16.06,-16.06,"-31,72%","-96,55%",0.1,"-13,71%","28,00%",0.0,-24319000.0,-1.02,"-47,46%"
171,SPRI3,10.51,-1.61,1.19,0.0,"0,00%",1.143,2.23,-3.07,2.36,-2.72,-2.74,"0,00%","0,00%",66.47,"-42,86%","-73,82%",0.0,22420000.0,0.0,"-7,33%"
172,SDIA3,6.42,-1.59,9.41,0.397,"0,00%",0.418,-3.29,9.53,-0.83,23.15,23.15,"4,16%","-25,09%",0.78,"5,89%","-590,66%",0.0,459230000.0,17.27,"13,42%"
173,SDIA4,6.42,-1.59,9.41,0.397,"0,00%",0.418,-3.29,9.53,-0.83,23.15,23.15,"4,16%","-25,09%",0.78,"5,89%","-590,66%",0.0,459230000.0,17.27,"13,42%"
174,DUQE3,28.0,-1.58,-11.29,12.103,"0,00%",0.428,-0.74,-1.65,-0.57,-2.7,-2.98,"-732,92%","-767,60%",0.33,"-28,21%","715,74%",0.0,-6987000.0,-7.19,"-42,70%"
175,BLUT4,0.67,-1.55,0.23,0.0,"0,00%",0.071,-0.56,-8.31,-0.1,-12.36,-12.36,"0,00%","0,00%",0.0,"-0,86%","-14,79%",625055.0,58673000.0,0.11,"0,00%"
176,ESTR4,53.0,-1.51,-0.09,0.276,"0,00%",0.147,-0.09,-16.66,-0.07,-49.83,-214.94,"-1,66%","-18,36%",0.25,"-0,93%","5,71%",704.88,-498547000.0,-0.17,"1,90%"
177,CTNM4,3.83,-1.43,0.15,0.053,"0,00%",0.028,-1.06,0.79,-0.12,8.96,5.04,"6,73%","-6,39%",0.94,"4,09%","-10,65%",96867.0,768566000.0,1.94,"-1,98%"
178,AVLL3,32.3,-1.41,5.35,2.505,"0,00%",0.367,8.26,-7.36,-0.67,-15.16,-17.24,"-34,06%","-135,86%",1.13,"-5,78%","-378,12%",44714.0,135329000.0,6.94,"0,00%"
179,TXRX4,6.89,-1.35,-0.09,0.181,"0,00%",0.139,-0.15,0.98,-0.07,10.26,8.81,"18,43%","-13,44%",0.32,"20,94%","6,56%",2054.54,-331987000.0,-0.84,"13,61%"
180,TCSA3,3.36,-1.34,0.42,1.69,"0,00%",0.159,0.47,-2.79,-1.94,-7.14,-8.25,"-60,63%","-126,84%",3.14,"-6,47%","-31,30%",2498490.0,590249000.0,0.95,"-13,60%"
181,SPRI5,8.52,-1.3,0.96,0.0,"0,00%",0.927,1.81,-2.49,1.91,-2.14,-2.15,"0,00%","0,00%",66.47,"-42,86%","-73,82%",0.0,22420000.0,0.0,"-7,33%"
182,IDVL4,2.67,-1.26,1.16,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-91,76%",0.0,237683000.0,0.0,"0,00%"
183,PMET6,0.2,-1.21,-0.05,1.39,"0,00%",9.307,-0.07,27.69,-0.05,441.57,441.57,"5,02%","-114,49%",0.01,"38,97%","4,10%",0.0,-290863000.0,-0.74,"37,74%"
184,HOOT4,2.51,-1.15,-0.1,1.0,"0,00%",0.101,-0.07,-1.9,-0.05,-1.66,-2.9,"-52,67%","-86,59%",0.04,"-5,57%","8,29%",16605.1,-481518000.0,-0.0,"-23,24%"
185,ESTR3,40.0,-1.14,-0.06,0.209,"0,00%",0.111,-0.06,-12.57,-0.05,-45.74,-197.31,"-1,66%","-18,36%",0.25,"-0,93%","5,71%",0.0,-498547000.0,-0.17,"1,90%"
