data,AMBEV,rsi,roc,willr,BRF,EURO,Heineken_euro,JBS,DOLAR,IBOVESPA,cdi,Risco_Brasil,Dividends
2001-12-10,0.8651079535484314,50.48728819098317,3.3620635933032883,-54.143661254961344,,,25.193933486938477,,,13446.0,0.069253,875,0.0
2001-12-11,0.8651079535484314,46.553534627846815,2.0960679049440767,-70.7182535856302,,,24.872163772583008,,,13348.0,0.069286,875,0.0
2001-12-12,0.8630731105804443,49.78395845568071,0.08396497909284317,-58.01104681275268,,,25.702316284179688,,,13563.0,0.069253,856,0.0
2001-12-13,0.8630731105804443,57.38242253384329,3.8047976206891043,-25.26882326882532,,,25.734498977661133,,,13148.0,0.069186,864,0.0
2001-12-14,0.854931116104126,56.50547778097531,3.223135350026052,-35.436910058808365,,,25.740922927856445,,,12959.0,0.069186,860,0.0
2001-12-17,0.852895975112915,59.91409132217601,5.785122208236748,-22.641489063559245,,,26.094865798950195,,,12912.0,0.06922,878,0.0
2001-12-18,0.854931116104126,45.62845920071084,-5.3615010445871025,-73.42345128827694,,,25.998332977294922,,,13397.0,0.06922,874,0.0
2001-12-19,0.8427194952964783,42.23363231287271,-9.024979043755899,-89.63965705517307,,,26.069120407104492,,,13290.0,0.06922,887,0.0
2001-12-20,0.8447549939155579,44.93013966899323,-2.9510913821853113,-79.72973205180085,,,26.390878677368164,,,12918.0,0.06922,904,0.0
2001-12-21,0.8793352246284485,50.97888052449906,5.794555114293964,-55.405401922298715,,,26.770559310913086,,,13369.0,0.069253,892,0.0
2001-12-24,0.8793352246284485,47.348775208844884,-2.4186819632106005,-54.10958501451088,,,26.87996482849121,,,,0.069253,898,0.0
2001-12-25,0.8793352246284485,42.58972483851427,-4.2771601193129065,-71.57534582124094,,,26.87996482849121,,,,,903,0.0
2001-12-26,0.8653135895729065,48.09759106713429,-1.9295343493164974,-54.4520585974064,,,26.87996482849121,,,13358.0,0.069153,896,0.0
2001-12-27,0.8793557286262512,42.32525213408595,-12.111557248308447,-77.05479250725544,,,27.208152770996094,,,13756.0,0.06912,884,0.0
2001-12-28,0.8712145090103149,56.53843140398522,1.681345412291968,-19.86301056684179,,,27.40764617919922,,,13578.0,0.06912,859,0.0
2001-12-31,0.8712145090103149,47.99574544872538,-9.531251944135843,-58.21917002902175,,,27.40764617919922,,,,0.06912,870,0.0
2002-01-01,0.8712145090103149,60.46103643602754,18.025754937618245,-14.609568883987329,,,27.40764617919922,,,,,,0.0
2002-01-02,0.8651079535484314,63.37970742779018,27.72365035444333,-11.73912863199577,,,26.92500877380371,,,13872.0,0.06912,824,0.0
2002-01-03,0.8752853870391846,64.43466879999826,27.45438561749789,-6.709945316478481,,,26.706222534179688,,,14265.0,0.06912,805,0.0
2002-01-04,0.8752853870391846,67.0893308277282,27.136924915599824,-3.5019512286534216,,,26.64185333251953,,,14332.0,0.069153,806,0.0
2002-01-07,0.9058194160461426,66.35084247639807,30.170938380493073,-5.80271153399895,,,26.9636173248291,,,14379.0,0.069153,820,0.0
2002-01-08,0.8854663372039795,66.7017141065168,36.818596905544055,-4.624272570749214,,,26.532455444335938,,,14168.0,0.06912,826,0.0
2002-01-09,0.8752853870391846,61.76032645670894,26.090678359415787,-15.606942895310826,,,26.127037048339844,,,14021.0,0.069153,841,0.0
2002-01-10,0.8752853870391846,61.58792692681819,33.4542214269268,-15.992289755260368,,,26.706222534179688,,,13570.0,0.069153,857,0.0
2002-01-11,0.8793557286262512,59.96549452288359,14.488190395448196,-19.7265674112715,,,27.414081573486328,,,13587.0,0.06912,874,0.0
2002-01-14,0.8569672107696533,59.589817958427595,25.215890289569455,-20.507816683675724,,,27.253202438354492,,,13122.0,0.06912,869,0.0
2002-01-15,0.8569875359535217,66.94853821067693,15.054543235085237,-4.262874012320187,,,27.832372665405273,,,13011.0,0.06912,863,0.0
2002-01-16,0.8549106121063232,68.93320479341776,12.690706754672764,-0.0,,,27.51060676574707,,,13084.0,0.06912,867,0.0
2002-01-17,0.8549106121063232,68.11372731224273,10.22494882207896,-4.016079177174478,,,28.038301467895508,,,13337.0,0.06912,853,0.0
2002-01-18,0.854931116104126,67.68047886109049,5.28720288562432,-6.916472450639814,,,27.993263244628906,,,13373.0,0.06912,839,0.0
2002-01-21,0.8488459587097168,67.95486312440299,6.237693969096192,-13.475149003173504,,,27.716535568237305,,,13155.0,0.069153,842,0.0
2002-01-22,0.8366091847419739,70.24033767487737,8.425864967319985,-7.829158546857999,,,27.671504974365234,,,13004.0,0.06912,828,0.0
2002-01-23,0.854931116104126,67.8817216597436,11.329715754583503,-14.590744673846716,,,28.237791061401367,,,13232.0,0.069086,817,0.0
2002-01-24,0.8498408198356628,66.11991225126378,10.529892409082997,-19.57293030573922,,,28.18631935119629,,,13162.0,0.06912,827,0.0
2002-01-25,0.8498408198356628,68.50900820911913,14.511689561299978,-7.692348732613787,,,28.05760955810547,,,,0.06912,828,0.0
2002-01-28,0.8488259315490723,69.42552469297051,15.862063703865847,-4.452091257484874,,,28.392234802246094,,,13002.0,0.06912,833,0.0
2002-01-29,0.8488259315490723,68.42470111977339,5.7522115358183745,-11.9741366007222,,,29.055065155029297,,,12501.0,0.06912,856,0.0
2002-01-30,0.822361946105957,69.70144456442117,4.123077392578134,-7.911392787083145,,,28.990718841552734,,,12532.0,0.06912,858,0.0
2002-01-31,0.8142206072807312,68.9117795976024,4.329009026819297,-19.062460605052745,,,28.76548194885254,,,12721.0,0.069153,965,0.0
2002-02-01,0.8040436506271362,71.54986786993362,6.943588949202217,-33.185837347063995,,,29.299610137939453,,,12659.0,0.069186,881,0.0
2002-02-04,0.8040646314620972,74.04648144791487,9.085286066924603,-16.431941909148424,,,29.807981491088867,,,12513.0,0.069186,890,0.0
2002-02-05,0.8040436506271362,73.01150414221074,5.963853905830518,-25.00002249230988,,,29.795120239257812,,,12748.0,0.069186,876,0.0
2002-02-06,0.8060794472694397,74.6641253837053,8.775140447577211,-15.525117336749721,,,29.56989288330078,,,12751.0,0.069186,869,0.0
2002-02-07,0.8142206072807312,77.4648013854732,12.722800470705952,-0.0,,,29.11941909790039,,,12684.0,0.069186,884,0.0
2002-02-08,0.8142206072807312,76.71922879251922,9.909907845847288,-21.708210899854674,,,29.550580978393555,,,12598.0,0.069186,885,0.0
2002-02-11,0.8142206072807312,79.38951869439784,11.904762445393624,-5.263210729871954,,,29.827293395996094,,,,,874,0.0
2002-02-12,0.8142206072807312,74.77153860914396,10.878659561403282,-14.925428370526628,,,29.782251358032227,,,,,856,0.0
2002-02-13,0.8101496696472168,77.27681668124491,12.234040694387627,-0.7905317128664577,,,30.252023696899414,,,12961.0,0.069186,828,0.0
2002-02-14,0.8040436506271362,71.37831063591229,10.55126669085431,-15.510242848223365,2.2332608699798584,,30.689607620239258,,,13245.0,0.069186,836,0.0
2002-02-15,0.8243967294692993,73.90215516531671,10.434778185858251,-1.2000274658203125,,,30.67675018310547,,,13300.0,0.069186,843,0.0
2002-02-18,0.8243967294692993,68.83610294777777,6.175638391762495,-14.468089250915323,,,30.63170623779297,,,13122.0,0.069186,842,0.0
2002-02-19,0.8243967294692993,69.27511251206435,6.878903206232412,-12.017197245231833,,,30.400033950805664,,,12992.0,0.069153,836,0.0
2002-02-20,0.8142206072807312,67.56672740397735,4.761906797224058,-20.32080161645174,,,30.599533081054688,,,13303.0,0.06912,821,0.0
2002-02-21,0.8345739841461182,67.56672740397735,1.9629258852583265,-25.333277384440105,,,30.95345687866211,,,13530.0,0.068318,829,0.0
2002-02-22,0.8243967294692993,68.11391112424516,2.5136667267707358,-21.476492884564426,,,30.818323135375977,,,13563.0,0.068318,824,0.0
2002-02-25,0.7836864590644836,71.0903790290447,1.5957508328925174,-26.666652538152285,,,30.65744400024414,,,13978.0,0.068352,808,0.0
2002-02-26,0.7918278574943542,72.00099585823874,3.5579508062378418,-21.764745481268722,,,30.245588302612305,,,13964.0,0.068318,806,0.0
2002-02-27,0.8142206072807312,65.53394508654527,-0.5265949587941354,-50.7353106171953,,,30.02035903930664,,,14212.0,0.068385,782,0.0
2002-02-28,0.8142206072807312,64.1760322432204,0.9115285778614091,-67.8571124466326,,,30.303504943847656,,,14033.0,0.068352,786,0.0
2002-03-01,0.8345739841461182,65.81086161039282,-0.419947122887121,-54.46429939901533,,,30.206974029541016,,,14343.0,0.068352,769,0.0
2002-03-04,0.8366091847419739,66.79013429160858,1.7075757669826608,-48.59818748351123,,,28.656085968017578,,,14471.0,0.068352,755,0.0
2002-03-05,0.8142206072807312,65.88689015159818,1.1702193065488808,-52.336413613125416,,,28.604604721069336,,,14011.0,0.068352,759,0.0
2002-03-06,0.8101496696472168,63.796308697750185,1.2299440259497363,-60.74764522592284,,,28.894195556640625,,,13839.0,0.068352,766,0.0
2002-03-07,0.802008330821991,67.1625373610643,2.673796682355878,-35.51395038753057,,,28.636783599853516,,,13726.0,0.068352,767,0.0
2002-03-08,0.8142206072807312,56.12985115109632,-0.4797449439757018,-85.04673896767845,,,28.58530044555664,,,13962.0,0.068352,743,0.0
2002-03-11,0.8142206072807312,62.29638709514326,0.31413332326732935,-39.25235477407716,,,29.061500549316406,,,13696.0,0.068352,740,0.0
2002-03-12,0.8508608937263489,62.982530785743386,0.05205741467171343,-33.64492645118968,,,29.280311584472656,,,14181.0,0.068352,727,0.0
2002-03-13,0.8345739841461182,58.05234900274571,0.3705648337001932,-57.9440201929453,,,29.02290153503418,,,14244.0,0.068352,717,0.0
2002-03-14,0.8162555694580078,57.12625953681635,0.4782154837794206,-62.616847419196134,,,29.151609420776367,,,14117.0,0.068352,698,0.0
